VD;STATUS;POLÍTICA COML.;CODIGO;PEOP;LOJAS;REGIAO GGL;REGIAO GR;REGIAO DIV;NOME GGL;NOME GR;NOME DIV;REGIAO IM;ENDEREÇO;BAIRRO;CIDADE;UF;CEP;Latitude;Longitude;ESCOAMENTO;NOME DA FACHADA;INAUG.;SAFRA;CLUSTER;"CLUSTER 
ABREV.";PARCELAMENTO;"CLUSTER DE 
PARCELAMENTO";TELEFONE1;TELEFONE2;CELULAR;E-MAIL;2ª a 6ª;SAB;DOM;FUNC.;TIPO LOJA;FACHADA;PSICOTRÓPICOS;FARMÁCIA POP.;"SERVIÇOS
 FARMACEUTICOS";VACINAS;IFOOD;RAPPI;CORNER SHOP;SUPER EXPRESSA;VAGAS/ESTACIONAMENTO;BICICLETARIO;PDVs ATIVOS;IMOBILIÁRIO;CD SUPRIDOR;INSCR. ESTADUAL;CNPJ;CENTRO DE CUSTOS;VD NOVO;DATA DA UNIFICAÇAO;CNPJ NOVO;DATA INATIVAÇAO;REALOCAÇÃO;DATA DA VIRADA;EAC;DENGUE/COVID;INJETAVEIS;REFORMA;Operadora;Circuito/Designação;ID VIVO
1854;A INAUGURAR;9999;1854;L1854;DP CABO FRIO PORTINHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;MADURA;-;-;-;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
2600;A INAUGURAR;9999;2600;L2600;DSP ENGORDADOURO - JUNDIAI;-;-;-;-;-;-;-;-;-;-;-;--;-;-;-;-;-;MADURA;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
2601;ATIVA;9999;2601;L2601;DSP GUARUJA ADHEMAR DE BARROS;SP LITORAL NORTE;SP LITORAL+ABC;SUL;ROGERIO CARVALHO;ALLAN YOUNG;BRUNA COSTA ;-;AV ADHEMAR DE BARROS, 2105;JARDIM HELENA MARIA;GUARUJA;SP;11430003;-;-;-;DROGARIA SAO PAULO;4/30/2025;2025;CBR_G;CBR;Parcela minima de 40 e até 3X;PADRÃO;-;-;-;filial.2601@dpsp.com.br;24 HORAS;24 HORAS;24 HORAS;24 HORAS;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;910;335708545116;61.412.110/0323-59;2026010000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2599;A INAUGURAR;9999;2599;L2599;DSP TARTARUGA GUARUJA;-;-;-;-;-;-;-;-;-;-;-;--;-;-;-;-;-;MADURA;CBR_G;CBR;Parcela minima de 40 e até 3X;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
2598;A INAUGURAR;9999;2598;L2598;DSP VILA APARECIDA;SP VALE DO PARAIBA;SP INTERIOR;-;FERNANDA ROBERTA;ANDERSON SANTOS;-;-;-;-;-;-;--;-;-;-;-;-;MADURA;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;910;-;-;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
2604;A INAUGURAR;9999;2604;L2604;DSP GOIANIA ALPHAVILLE 3;-;-;-;-;-;-;-;-;-;-;-;--;-;-;-;-;-;MADURA;-;;-;PADRÃO;-;-;-;--;-;-;-;24 HORAS;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
2603;A INAUGURAR;9999;2603;L2603;DSP JANDIRA GOLFE;-;-;-;-;-;-;-;-;-;-;-;--;-;-;-;-;-;MADURA;-;;-;PADRÃO;-;-;-;--;-;-;-;24 HORAS;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
2602;ATIVA;9999;2602;L2602;DSP PONTA DA PRAIA II;SP SANTOS;SP LITORAL+ABC;SUL;CAIO MONTEIRO;ALLAN YOUNG;BRUNA COSTA ;SP LITORAL;AV DOS BANCARIOS, 9;PONTA DA PRAIA;SANTOS;SP;11030301;-;-;ESCOADORA;DROGARIA SAO PAULO;4/17/2025;2025;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;-;-;-;pontadapraia2@dpsp.com.br;24 HORAS;24 HORAS;24 HORAS;24 HORAS;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;910;137764539117;61.412.110/1348-60;2026020000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2597;A INAUGURAR;9999;2597;L2597;DSP SETUBAL;PE CENTRO;NORDESTE;-;MALHAINE SANTOS;THIRZA FREITAS;-;-;-;-;-;-;--;-;-;-;-;-;MADURA;-;-;-;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;915;-;-;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
2575;A INAUGURAR;9999;2575;L2575;DSP PLANALTINA DO DF;-;-;-;-;-;-;DISTRITO FEDERAL;-;-;-;-;--;-;-;-;-;-;MADURA;POP_G;POP;Parcela minima de 40 e até 3X;PADRÃO;-;-;-;--;-;-;-;-;-;-;-;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;INATIVO;INATIVO;INATIVO;-;;;
