VD;Motivo
1854;Sem inventário correspondente
2600;Sem inventário correspondente
2601;Sem inventário correspondente
2599;Sem inventário correspondente
2598;Sem inventário correspondente
2604;Sem inventário correspondente
2603;Sem inventário correspondente
2602;Sem inventário correspondente
2597;Sem inventário correspondente
2575;Sem inventário correspondente
1809;Sem inventário correspondente
2572;Sem inventário correspondente
2541;Sem inventário correspondente
1833;Sem inventário correspondente
1821;Sem inventário correspondente
2548;Sem inventário correspondente
2504;Sem inventário correspondente
2495;Sem inventário correspondente
2635;Sem inventário correspondente
2644;Sem inventário correspondente
2657;Sem inventário correspondente
1260;Sem inventário correspondente
1620;Sem inventário correspondente
1755;Sem inventário correspondente
2296;Sem inventário correspondente
1667;Sem inventário correspondente
2180;Sem inventário correspondente
1274;Sem inventário correspondente
1675;Sem inventário correspondente
2223;Sem inventário correspondente
799;Sem inventário correspondente
1512;Sem inventário correspondente
1465;Sem inventário correspondente
1392;Sem inventário correspondente
1449;Sem inventário correspondente
1104;Sem inventário correspondente
1355;Sem inventário correspondente
1089;Sem inventário correspondente
1250;Sem inventário correspondente
1263;Sem inventário correspondente
1421;Sem inventário correspondente
1479;Sem inventário correspondente
1441;Sem inventário correspondente
1153;Sem inventário correspondente
1443;Sem inventário correspondente
1051;Sem inventário correspondente
1430;Sem inventário correspondente
1546;Sem inventário correspondente
1514;Sem inventário correspondente
1384;Sem inventário correspondente
1410;Sem inventário correspondente
1437;Sem inventário correspondente
1436;Sem inventário correspondente
1511;Sem inventário correspondente
1495;Sem inventário correspondente
1448;Sem inventário correspondente
1528;Sem inventário correspondente
1073;Sem inventário correspondente
1009;Sem inventário correspondente
627;Sem inventário correspondente
882;Sem inventário correspondente
291;Sem inventário correspondente
899;Sem inventário correspondente
621;Sem inventário correspondente
670;Sem inventário correspondente
961;Sem inventário correspondente
858;Sem inventário correspondente
888;Sem inventário correspondente
293;Sem inventário correspondente
938;Sem inventário correspondente
995;Sem inventário correspondente
384;Sem inventário correspondente
260;Sem inventário correspondente
